Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Jishen lü,稽神錄,Record of Investigating Spirits,,小说家,,Southern Tang,徐鉉,Xu Xuan,,,,,,,,,,,,,,徐彥成,Xu Yancheng,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E7%A8%BD%E7%A5%9E%E9%8C%84/%E5%8D%B73#%E5%BE%90%E5%BD%A5%E6%88%90,,
Shuowen jiezi,說文解字,Explaining Graphs and Analyzing Characters,,小學,,Eastern Han,許慎,Xu Zhen,(~58-~124),,,,,,,,,,,,,荊,Jing,,,,,China Text Project,,https://ctext.org/shuo-wen-jie-zi/cao-bu,,
Shuowen jiezi,說文解字,Explaining Graphs and Analyzing Characters,,小學,,Eastern Han,許慎,Xu Zhen,(~58-~124),,,,,,,,,,,,,楚,Chu,,,,,China Text Project,,https://ctext.org/shuo-wen-jie-zi?searchu=%E8%8D%8A#n30201,,
Shuowen jiezi,說文解字,Explaining Graphs and Analyzing Characters,,小學,,Eastern Han,許慎,Xu Zhen,(~58-~124),,,,,,,,,,,,,荊,Jing,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%AA%AA%E6%96%87%E8%A7%A3%E5%AD%97/01#%E8%89%B8%E9%83%A8,,
Shuowen jiezi,說文解字,Explaining Graphs and Analyzing Characters,,小學,,Eastern Han,許慎,Xu Zhen,(~58-~124),,,,,,,,,,,,,楚,Chu,,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%AA%AA%E6%96%87%E8%A7%A3%E5%AD%97/06#%E6%9E%97%E9%83%A8,,
Huguang tujing zhishu,湖廣圖經志書,,,地方誌,湖廣,1484,薛綱,Xue Gang,,吳廷舉,Wu Yanju,,,,,,,,,,,建置沿革,jianzhi yange,construction and development,,,,LoGaRT,中國方志庫一集,,,
Zhengde Yuanzhou fuzhi,正德袁州府志,,,地方誌,袁州,1514,嚴嵩,Yan Gao,,,,,,明正德刻本,,,,,,,,課程,kecheng,excise taxes,,,,LoGaRT,中國方志庫一集,,,
Han shu zhu,漢書注,Annotated History of the Han,,正史,,Tang,顏師古,Yan Shigu,,,,,,,,,,,,,,蜀郡,Shu jun,Shu Commandery,,,,Guoxue daohang,,http://www.guoxue123.com/shibu/0101/01hsyz/037.htm,,
Jiajing Hengzhou fuzhi,嘉靖衡州府志,,,地方誌,衡州,1536,楊佩修,Yang Pei,,劉凿纂,Liu Zao,,,,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Wanli Quanzhou fuzhi,萬曆泉州府志,,,地方誌,泉州,萬曆,陽思謙修,Yang Siqian,,,,,,明萬曆刻本,,,,,,,,田土,tiantu,landholdings,,,,LoGaRT,中國方志庫一集,,,
